sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 14,109,بنظر تحمل قليب ملاحظە بيلان کوردىلار کم,"Be-naẓar-ı taḥammul qılıp, mulāhaẓa bilän kördiler kim",They observed patiently,"сабырмен қарап, байқап көрді",терпеливо и внимательно наблюдали,"nazar-i tahammul qilib, mulohaza bilan ko‘rdilar",sabırla ve dikkatle baktılar,"Be-naẓar-ı taḥammul qılıp, mulāhaẓa bilän kördiler kim",chg,sentence,7,
Ch 14,110,اول دريا تا جولغجە اقار,Ol daryā tā çölğaça aqar,That river flows until it gets to the desert,ол дария шөлге дейін ағады,та река течет до пустыни,ul daryo to cho‘lgacha oqar,o nehir çöle kadar akar,Ol daryā tā çölğaça aqar,chg,sentence,5,
Ch 14,111,علم ايستاسانک تا خطاى غجە بارغيل,"ʿIlm isteseñ, tā Ḫıṭāyǧaça barǧıl","If you seek knowledge, go as far as China","білім іздесең, Қытайға дейін бар","если ищешь знания, иди хоть до Китая","ilm istasang, to Xitoygacha borgil",ilim istersen Çin’e kadar var,"ʿIlm isteseñ, tā Ḫıṭāyǧaça barǧıl",chg,sentence,5,
Ch 14,112,تا کاشغرغجە سو ايچتي ختن کجە چاى,"Tā Kaşǧarǧaça suw içti, Ḫotangaça çay","All the way to Kashgar, she drank water; to Khotan, she drank tea","Қашқарға дейін су ішті, Хотанға дейін шай","до Кашгара пила воду, до Хотана — чай","to Qashqargacha suv ichdi, Xo‘tangacha choy","Kaşgar’a kadar su içti, Hotan’a kadar çay","Tā Kaşǧarǧaça suw içti, Ḫotangaça çay",chg,sentence,6,
Ch 14,113,تا صبح غجە قران اوقودىلار,Tā sabāḥǧaça Qurʾān oqudılar.,They read the Qur’ān until the early morning,таңға дейін Құран оқыды,читали Коран до самого утра,to subhgacha Qur’on o‘qidilar,sabaha kadar Kur’an okudular,Tā sabāḥǧaça Qurʾān oqudılar.,chg,phrase,4,
Ch 14,114,سمرقندغجە سفر قيلديم,Samarqandǧaça safar qıldım,I traveled as far as Samarqand,Самарқанға дейін сапар шектім,я путешествовал до Самарканда,Samarqandgacha safar qildim,Semerkand’a kadar sefer ettim,Samarqandǧaça safar qıldım,chg,phrase,3,
Ch 14,115,تانک غجە اويقولاب قوفارسيزمو,Tañǧaça oyqulap qofarsız mu,"Will you sleep until dawn, then arise","таңға дейін ұйықтап, тұрасыз ба","вы проспите до рассвета, а потом встанете?","tonggacha uyqulab, qo‘pasizmi?",tana kadar uyuyıp kalkar mısınız?,Tañǧaça oyqulap qofarsız mu,chg,phrase,4,
Ch 14,116,شول شهرکجە کليب اولدى لار,"şol şahargaça kelip, öldiler","They came as far as this city, and then died","сол қалаға дейін келіп, қайтыс болды","дойдя до этого города, они умерли","shu shahargacha kelib, o‘ldilar",şu şehre kadar gelip öldüler,"şol şahargaça kelip, öldiler",chg,phrase,4,
Ch 14,117,بولارنينک احواليدين هيچکيم نينک خبري يوق ايردى,Bularnıñ aḥwālıdın hı̇̄çkimniñ ḫabarı yoq érdi,No one knew anything about them,бұлардың жағдайынан ешкімнің хабары жоқ еді,никто ничего не знал об их положении,bularning ahvolidan hech kimning xabari yo‘q edi,bunların ahvalinden hiç kimsenin haberi yoktu,Bularnıñ aḥwālıdın hı̇̄çkimniñ ḫabarı yoq érdi,chg,sentence,6,
Ch 14,118,شونجە بيلور ايردى کم بخارادين ايکي يکيت کليب بر کوشەدا وطن قلدىلار ديب,"şunça bilür érdi, kim Buḫārādin éki yigit kelip, bir kuşada waṭan qıldılar, dép",They only knew that two young men had come from Bukhara and settled in some corner,"Бұхарадан екі жігіт келіп, бір бұрышқа орналасқанын ғана білетін еді","знали лишь, что два парня пришли из Бухары и поселились в одном углу","shuncha bilur ediki, Buxorodan ikki yigit kelib, bir go‘shada vatan qildilar, deb","bu kadar bilirlérdi ki, Buhara’dan iki yiğit gelip bir köşede vatan tuttular","şunça bilür érdi, kim Buḫārādin éki yigit kelip, bir kuşada waṭan qıldılar, dép",chg,sentence,13,
Ch 14,119,اما بولار برکون جقيب سر حساب باردى لار,"Ammā bular bir kün çıqıp, sar-ḥisāb bardılar",But these two went out in the day to reconnoiter,"бірақ бұлар бір күні шығып, барлап қайтты","но однажды они вышли, чтобы разведать обстановку","ammo bular bir kun chiqib, sarhisob bordilar",ama bunlar bir gün çıkıp teftişe vardılar,"Ammā bular bir kün çıqıp, sar-ḥisāb bardılar",chg,sentence,7,
Ch 14,120,کوردى لار کم بو خاليق مسلمان ديسەلار نماز اوتاماى روزە توتمايدور,"Kördiler, kim bu ḫalāyıq musulmān deseler, namāz ötemey, roza tutmaydur","They saw that this people, if you were to call them Muslims, they did not say their prayers, nor fast","көрдікі, бұл халық мұсылманбыз десе де, намаз оқымайды, ораза тұтпайды","увидели, что этот народ, хоть и называет себя мусульманами, намаз не совершает, пост не держит","ko‘rdilarki, bu xaloyiq musulmon desalar, namoz o‘tamay, ro‘za tutmaydir","gördüler ki, bu halk müslümanız deseler de namaz kılmaz, oruç tutmaz","Kördiler, kim bu ḫalāyıq musulmān deseler, namāz ötemey, roza tutmaydur",chg,sentence,10,
Ch 14,121,و نذره جراغ قلماي دور,wa naẕra çırāǧ qılmaydur,Nor did they mourn with lamps,және шырақ жағып зиярат етпейді,и не зажигает поминальных светильников,va nazr-chiroq qilmaydir,ve adak mumu yakmaz,wa naẕra çırāǧ qılmaydur,chg,phrase,4,
Ch 14,122,خيره احسان قلماي دور,Ḫayra iḥsān qılmaydur,Nor did they do charitable deeds,қайырымдылық қылмайды,не совершает благодеяний,xayr-u ehson qilmaydir,hayır ihsan kılmaz,Ḫayra iḥsān qılmaydur,chg,phrase,3,
Ch 14,123,شراب ايجادور,şarāb içedür,They drank wine,шарап ішеді,пьет вино,sharob ichadir,şarap içer,şarāb içedür,chg,phrase,2,
Ch 14,124,کافر ديسە ايمان ايتادور,"Kāfir dése, imān étedür","If you were to call them nonbelievers, they professed the faith","кәпір десең, иман айтады","если назовешь неверным, произносят символ веры","kofir desang, iymon aytadir",kâfir desen iman eder,"Kāfir dése, imān étedür",chg,phrase,4,
Ch 14,125,مسلمانجە سوزلاي دورلار,Musulmānça sözleydürler,They spoke like Muslims,мұсылманша сөйлейді,говорят по-мусульмански,musulmoncha so‘zlaydirlar,müslümanca söylerler,Musulmānça sözleydürler,chg,phrase,2,
Ch 14,126,ظاہر بولديکە کافر کبران ايکان,"Ẓāhir boldı ki, kāfir-i kibrān éken",It was clear that these were some major infidels,"анық болды, үлкен кәпірлер екен","стало ясно, что они великие неверные","zohir bo‘ldiki, kofiri kibron ekan",zahir oldu ki büyük kâfirlérmiş,"Ẓāhir boldı ki, kāfir-i kibrān éken",chg,sentence,6,
Ch 14,127,بر کشي ني جرلاب اليب کليب سوز سوردى لار,"Bir kişini çarlap alıp kelip, söz sordılar","They invited someone back to theirs, and they asked him","бір кісіні шақырып алып келіп, сөз сұрады","пригласив одного человека, они спросили","bir kishini chorlab olib kelib, so‘z so‘radilar",bir kişiyi çağırıp getirip söz sordular,"Bir kişini çarlap alıp kelip, söz sordılar",chg,sentence,7,
Ch 14,128,سيزلار نچوک مذهب داکی ملت داکی خلق ايدينکلار,sizler neçük maẕhabdaki milletdeki ḫalq édiñler,What kind of school and sect do you people belong to,"сіздер қандай мазхабтағы, ұлттағы халық едіңіздер","какого вы, люди, мазхаба и какой веры","sizlar nechuk mazhabdagi, millatdagi xalq edingizlar","sizler ne çeşit mezhepteki, milletteki halktınız",sizler neçük maẕhabdaki milletdeki ḫalq édiñler,chg,sentence,6,
Ch 14,129,پادشاهينکيزلار بارمو,pādişāhıñızlar bar mu,Do you have a king,патшаларыңыз бар ма,есть ли у вас царь?,podshohingizlar bormi?,padişahınız var mı?,pādişāhıñızlar bar mu,chg,phrase,3,
Ch 14,130,عالمينکيزلار هم بارمو ديب سوردىلار,ʿĀlimiñizler häm bar mu dép sordılar,Do you have scholars,ғалымдарыңыз бар ма деп сұрады,"есть ли у вас ученые, спросили они","olimingizlar ham bormi, deb so‘radilar",âlimleriniz de var mı deyip sordular,ʿĀlimiñizler häm bar mu dép sordılar,chg,sentence,6,
Ch 14,132,هيچ کيم,hı̇̄ç kim,no one,ешкім,никто,hech kim,hiç kimse,hı̇̄ç kim,chg,phrase,2,
Ch 14,139,وطن قيل,waṭan qıl-,to settle down,мекен ету,обосновываться,vatan qil-,vatan tutmak,waṭan qıl-,chg,phrase,2,
Ch 14,142,نماز اوت,namāz öt-,to say prayers,намаз оқу,совершать намаз,namoz o‘ta-,namaz kılmak,namāz öt-,chg,phrase,2,
Ch 14,143,روزە توت,roza tut-,to fast,ораза тұту,держать пост,ro‘za tut-,oruç tutmak,roza tut-,chg,phrase,2,
Ch 14,144,نذر چراغ,naẕra çıraǧ,mourning by lighting a lamp,шырақ жағу,зажигать светильник,nazr-chiroq,mum adağı,naẕra çıraǧ,chg,phrase,2,
Ch 14,158,مسلمان جە سوزلاي دورلار,Musulmānça sözleydürler,They speak in the manner of Muslims,мұсылманша сөйлейді,говорят по-мусульмански,musulmoncha so‘zlaydirlar,müslümanca söylerler,Musulmānça sözleydürler,chg,phrase,2,
Ch 14,159,بجين جە لباس کيدى لار,Bacinça libās kiydiler,They put on clothes in the style of Beijing,Бейжіңше киім киді,оделись в стиле Пекина,Bejincha libos kiydilar,Pekin tarzı elbise giydiler,Bacinça libās kiydiler,chg,phrase,3,
Ch 14,160,شونجە بيلور ايردى,şunça bilur érdi,They knew to that extent,осынша біледі екен,знали столько,shuncha bilur edi,şunca bilirdi,şunça bilur érdi,chg,phrase,3,
Ch 14,161,کول باغدە,Köl bāǧda,The pond is in the garden,көл бақта,пруд в саду,ko‘l bog‘da,göl bağda,Köl bāǧda,chg,phrase,2,
Ch 14,162,باغداکی کول,Bāǧdaki köl,The pond that is in the garden,бақтағы көл,"пруд, который в саду",bog‘dagi ko‘l,bağdaki göl,Bāǧdaki köl,chg,phrase,2,
Ch 14,163,کوچاداکی خواجەلار کاشغرنى خواەلادى لار,Kuçadaki ḫᵛācalar Kaşǧarnı ḫᵛāhladılar,The khwajas in Kucha desired Kashgar,көшедегі қожалар Қашқарды қалады,ходжи на улице желали Кашгара,ko‘chadagi xo‘jalar Qashqarni xohladilar,koçadaki hocalar Kaşgar’ı arzuladılar,Kuçadaki ḫᵛācalar Kaşǧarnı ḫᵛāhladılar,chg,phrase,4,
Ch 14,164,سيزلار نچوک ملت داکی خلق ايدينکلار,sizler neçük maẕhabdaki milletdeki ḫalq édiñler,To which sect do your people belong,сіздер қандай ұлттағы халық едіңіздер,"к какой вере вы, люди, принадлежите",sizlar nechuk millatdagi xalq edingizlar,sizler ne milletteki halktınız,sizler neçük maẕhabdaki milletdeki ḫalq édiñler,chg,sentence,6,
Ch 14,165,اول کشي ايدى پادشاهميز بار,"Ol kişi aydı, pādişāhımız bar","That man said, We have a king",ол кісі айтты: патшамыз бар,тот человек сказал: у нас есть царь,ul kishi aytdi: podshohimiz bor,o kişi dédi: padişahımız var,"Ol kişi aydı, pādişāhımız bar",chg,sentence,5,
Ch 14,166,اتى نی سلطان ابو قبيس لقبی زيور شا کتکی ديرلار,"Atını Sulṭān Abū Qubays, laqabı Zı̇̄war şā Katak dérler","His name is Sultan Abu Qubays, and he is known as Ziwar Shah Kataki","аты Сұлтан Әбу Қубайыс, лақабы Зивар Шах Катақи дейді","его имя Султан Абу Кубайс, прозвище Зивар Шах из Катака","otini Sulton Abu Qubays, laqabi Zevar Shoh Katakiy derlar","adına Sultan Ebu Kubeys, lakabı Ziver Şah Kateki derler","Atını Sulṭān Abū Qubays, laqabı Zı̇̄war şā Katak dérler",chg,sentence,9,
Ch 14,167,عالم ديکان نمەگە اوخشە,ʿĀlim dégen  nemege oḫşa,What sort of thing is a scholar,ғалым деген неге ұқсайды,на что похож ученый,olim degan nimaga o‘xshaydi,âlim denen neye benzer,ʿĀlim dégen  nemege oḫşa,chg,phrase,4,
Ch 14,168,مذهب ملت ديکان نمە چز انى بيلمسيمز,Maẕhab millät degen  neme? Biz anı bilmesmiz,What is a school? A sect? We don’t know about those things,"мазхаб, ұлт деген не нәрсе, біз оны білмейміз","что такое мазхаб, вера? мы этого не знаем","mazhab, millat degan nima? Biz uni bilmasmiz",mezhep millet denen nedir? Biz onu bilmeyiz,Maẕhab millät degen  neme? Biz anı bilmesmiz,chg,sentence,7,
Ch 14,169,لا الە الا الله محمد رسولا الله ديماکدين اوزکە نمە بار پلمس سمز,Lā ʾilaha ʾillallāh Muḥammadun rasūlullāh démekdin özge neme bar bilmesmiz,"Apart from saying, There is no god but God, and Muḥammad is the Messenger of God, we don’t know what else there is","Лә иләһә илләллаһ Мұхаммадун расулуллаһ дегеннен басқа не бар, білмейміз","кроме слов «Нет бога, кроме Аллаха, и Мухаммад — посланник Аллаха», ничего другого не знаем","La ilaha illalloh Muhammadun rasululloh demakdan o‘zga nima bor, bilmasmiz",La ilahe illallah Muhammedün resulullah demekten özge ne var bilmeyiz,Lā ʾilaha ʾillallāh Muḥammadun rasūlullāh démekdin özge neme bar bilmesmiz,chg,sentence,10,
Ch 14,170,بولار حيران قالدى لار,Bular ḥayrān qaldılar,They were shocked,бұлар қайран қалды,они были поражены,bular hayron qoldilar,bunlar hayran kaldılar,Bular ḥayrān qaldılar,chg,phrase,3,
Ch 14,171,نچوک سادە مخلوقلار ايکان ديب,Neçük sādä maḫlūqlar éken! dép,What simple creatures! they said,неткен қарапайым жандар екен деп,"какие простые создания, сказали они",nechuk sodda maxluqlar ekan! deb,ne kadar sade mahluklarmış! deyip,Neçük sādä maḫlūqlar éken! dép,chg,sentence,5,
Ch 14,172,بولارنى جهار يارى قيلالى ديب,"Bularnı çahār yār qılalı, dép",Let’s make them into Sunnis!,бұларды сүннит қылайық деп,"сделаем их суннитами, сказали они","bularni chahoryor qilaylik, deb",bunları sünni yapalım deyip,"Bularnı çahār yār qılalı, dép",chg,sentence,5,
Ch 14,173,چهار يارى بولماسە پز بر طرفکە کتالى,"çahār yār bolmasa, biz bir ṭarafke keteli","If they don’t become Sunnis, let’s go somewhere else","сүннит болмаса, біз бір жаққа кетелік","если не станут суннитами, уйдем куда-нибудь","chahoryor bo‘lmasa, biz bir tarafga ketaylik",sünni olmazlarsa biz bir tarafa gidelim,"çahār yār bolmasa, biz bir ṭarafke keteli",chg,sentence,7,
Ch 14,174,مونداغ يردە تورمايلى ديب مصلحت قلدى لار,"Mundaǧ yerde turmaylı, dép maṣlaḥat qıldılar","Let’s not stay in a place like this, they decided",мұндай жерде тұрмайық деп кеңесті,решили: не будем оставаться в таком месте,"mundoq yerda turmaylik, deb maslahat qildilar",böyle yerde durmayalım deyip meşveret ettiler,"Mundaǧ yerde turmaylı, dép maṣlaḥat qıldılar",chg,sentence,6,
Ch 14,175,پادشاه نينک الدى غە باردى لار,pādişāhnıñ aldıǧa bardılar,They went before the king,патшаның алдына барды,пошли к царю,podshohning oldiga bordilar,padişahın huzuruna vardılar,pādişāhnıñ aldıǧa bardılar,chg,phrase,3,
Ch 14,177,ابو قبيس,Abū Qubays,Abu Qubays,Әбу Қубайыс,Абу Кубайс,Abu Qubays,Ebu Kubeys,Abū Qubays,chg,phrase,2,
Ch 14,187,لا الە الا الله محمد رسول الله,lā ilaha illallah Muḥammadun rasūlullāh,There is no god but God; Muḥammad is the messenger of God,Лә иләһә илләллаһ Мұхаммадун расулуллаһ,"Нет бога, кроме Аллаха, и Мухаммад — посланник Аллаха",La ilaha illalloh Muhammadun rasululloh,La ilahe illallah Muhammedün resulullah,lā ilaha illallah Muḥammadun rasūlullāh,chg,sentence,5,
Ch 14,191,چهار يارى,çahār yār,people of the Four Caliphs,төрт жардың жолындағылар,последователи четырех халифов,chahoryorlar,dört halife yolundakiler,çahār yār,chg,phrase,2,
Ch 14,192,چهار يارى,çahār yār,Sunnis,сүнниттер,сунниты,sunniylar,sünniler,çahār yār,chg,phrase,2,
Ch 15,0,امّا زيور شاە اولوغ فادشاە ايردى,Ammā Zı̇̄war Şāh uluǧ fādişāh érdi,Ziwar Shah was a great king,Бірақ Зивар Шах ұлы патша еді,Однако Зивар Шах был великим падишахом,Ammo Zivar Shoh ulug‘ podshoh edi,Amma Ziver Şah ulu bir padişahtı,Ammā Zı̇̄war Şāh uluǧ fādişāh érdi,chg,sentence,6,
Ch 15,1,حضرت مولانانی جلاليت صفتی دە کوروب بی علاج لقدين عزت بيلان تخت دا قفوب توردى,"Ḥażret-i Mawlānānı calāliyat ṣıfatıda körüp, bı̇̄-ʿilāclıqdın ʿizzet bilän taḫtda qofup turdı","He looked upon the Master in a magnificent manner, and gloriously arose from his throne","Хазіреті Мәуләнаны ұлылық сипатында көріп, шарасыздықтан ізетпен тақтан тұрды","Увидев Хазрата Мауляну в величественном облике, он невольно с почтением встал с трона","Hazrat Mavlononi jaloliyat sifatidako‘rib, beilojlikdan izzat bilan taxtdan turdi","Hazret-i Mevlana’yı celal sıfatında görüp, çaresizlikten (gayriihtiyari) hürmetle tahttan kalktı","Ḥażret-i Mawlānānı calāliyat ṣıfatıda körüp, bı̇̄-ʿilāclıqdın ʿizzet bilän taḫtda qofup turdı",chg,sentence,11,
Ch 15,2,امّا حضرت بزرگوار کوردى لار کم زيور شاەنينک اونک يانيدا اليک فهلوان هم تخت نشين,"Ammā ḥażret-i buzurkwār kördiler, kim Zı̇̄war Şāhnıñ oñ yanıda ellik fahlawān häm taḫt-nişı̇̄n","The Great One saw that, to Ziwar Shah’s right, there were fifty warriors and attendants to the throne",Бірақ Хазіреті Бузургвар (Ұлы Мәртебелі) көрді: Зивар Шахтың оң жағында елу палуан мен тақ қызметшісі бар,"Однако Хазрат Бузургвар увидел, что по правую руку от Зивар Шаха сидят пятьдесят богатырей и придворных","Ammo Hazrati Buzurgvor ko‘rdilarki, Zivar Shohning o‘ng yonida ellik pahlavon ham taxtnishin","Amma Hazret-i Büzürgvar gördüler ki, Ziver Şah’ın sağ yanında elli pehlivan da tahtta oturuyordu","Ammā ḥażret-i buzurkwār kördiler, kim Zı̇̄war Şāhnıñ oñ yanıda ellik fahlawān häm taḫt-nişı̇̄n",chg,sentence,13,
Ch 15,3,سول يانيدا الليک فهلوان کرسى زرين نشين,sol yanıda ellik fahlawān kurs-i zärrı̇̄n-nişı̇̄n,"on his left, fifty warriors, and countless attendants to the golden throne",Сол жағында елу палуан алтын күрсіде отыр,"По левую руку — пятьдесят богатырей, восседающих на золотых стульях",Sol yonida ellik pahlavon kursi-yi zarrinnishin,Sol yanında elli pehlivan altın kürsüde oturuyordu,sol yanıda ellik fahlawān kurs-i zärrı̇̄n-nişı̇̄n,chg,sentence,6,
Ch 15,4,مسند نشين لارنينک حد سانى يوق ايردى,mäsnäd-nişı̇̄nlerniñ ḥadd-sānı yoq érdi,there was no limit to the number of people in seats of honor,Төрде отырғандардың санында шек жоқ еді,Числу восседающих на почетных местах не было предела,Masnadnishinlarning had-u soni yo‘q edi,Başköşede oturanların haddi hesabı yoktu,mäsnäd-nişı̇̄nlerniñ ḥadd-sānı yoq érdi,chg,phrase,4,
Ch 15,5,القصّه زيور شاە ايدى اى يکت لار نە يرليک بولورسيزلار,"äl-qiṣṣa, Zı̇̄war Şāh aydı, ""Ey, yigitler! Ne yerlik bolursızlar?","Back to our story. Ziwar Shah said, ""Oh, young men! Where are you from?","Қысқасы, Зивар Шах айтты: «Ей, жігіттер! Қай жерлік боласыздар?","Короче говоря, Зивар Шах сказал: «Эй, джигиты! Откуда вы родом?","Alqissa, Zivar Shoh aytdi: ""Ey yigitlar! Qayerlik bo‘lasizlar?","Elhasıl, Ziver Şah dédi ki: ""Ey yiğitler! Nerelisiniz?","äl-qiṣṣa, Zı̇̄war Şāh aydı, ""Ey, yigitler! Ne yerlik bolursızlar?",chg,sentence,9,
Ch 15,6,موندا نجە يورورسيزلار,"Munda neçe yürürsizler?""","How long will you be here?""",Мұнда қанша жүресіздер?»,Сколько вы здесь пробудете?»,"Bunda necha yurursizlar?""","Burada ne kadar kalacaksınız?""","Munda neçe yürürsizler?""",chg,phrase,3,
Ch 15,7,حضرت مولانا جمال الدين ايدي لار کم پز بخارادين بقيب کليب ايردوک,"Ḥażret-i Mawlānā Cämālu'd-dı̇̄n aydılar kim, ""Biz Buḫārādın çıqıp kelip érdük.""","The Master Jamal ud-Din said, ""We came from Bukhara.""","Хазіреті Мәуләна Жамалуддин: «Біз Бұхарадан шығып келген едік», – деді",Хазрат Мауляна Джамалуддин сказал: «Мы прибыли из Бухары»,"Hazrat Mavlono Jamoliddin aytdilarkim: ""Biz Buxorodan chiqib kelib erduk.""","Hazret-i Mevlana Cemaleddin dédiler ki: ""Biz Buhara’dan çıkıp geldik.""","Ḥażret-i Mawlānā Cämālu'd-dı̇̄n aydılar kim, ""Biz Buḫārādın çıqıp kelip érdük.""",chg,sentence,10,
Ch 15,8,بو شهرگە کلکالى نجە کون بولدى,Bu şaharge kelgeli neçe kün boldı,We came to this city a few days ago,Бұл қалаға келгелі неше күн болды,"С тех пор как мы пришли в этот город, прошло несколько дней",Bu shaharga kelgali necha kun bo‘ldi,Bu şehre geleli birkaç gün oldu,Bu şaharge kelgeli neçe kün boldı,chg,sentence,6,
Ch 15,9,امّا مقصود مدعّایمز بو کم روى عالم نى سير قليب يورکاي مز,"Ammā maqṣūd mudaʿāmız bu kim, rūy-ı ʿālamnı seyr qılıp yürgeymiz",But our goal is to travel the whole world,Бірақ мақсат-мұратымыз – жер жүзін шарлап жүру,Но наша цель и намерение — странствовать по лику мира,"Ammo maqsud-muddaomiz bukim, ro‘yi olamni sayr qilib yurgaymiz","Amma maksadımız ve meramımız şudur ki, dünya yüzünü seyredip gezelim","Ammā maqṣūd mudaʿāmız bu kim, rūy-ı ʿālamnı seyr qılıp yürgeymiz",chg,sentence,10,
Ch 15,10,بر يردا کىشى ضلالت دا بولسە راست يولغە ساليب کوندورکايمز,"Bir yerde kişi żalālatda bolsa, rāst yolǧa salıp köndürgeymiz","If someone somewhere is in error, we will persuade them onto the correct path","Бір жерде кісі адасушылықта болса, тура жолға салып көндіргейміз","Если где-то человек пребывает в заблуждении, мы наставим его на истинный путь","Bir yerda kishi zalolatda bo‘lsa, rost yo‘lga solib ko‘ndirgaymiz","Bir yerde kişi delalette olsa, doğru yola sokup ikna ederiz","Bir yerde kişi żalālatda bolsa, rāst yolǧa salıp köndürgeymiz",chg,sentence,9,
Ch 15,11,اى زيور شاە جوابنک نە تورور ايغيل,"Ey, Zı̇̄war Şāh! Cawābıñ ne turur? Ayǧıl!","Oh, Ziwar Shah! What is your answer? Tell us!","Ей, Зивар Шах! Жауабың не? Айтқын!","Эй, Зивар Шах! Каков твой ответ? Говори!",Ey Zivar Shoh! Javobing ne turur? Ayg‘il!,Ey Ziver Şah! Cevabın nedir? Söyle!,"Ey, Zı̇̄war Şāh! Cawābıñ ne turur? Ayǧıl!",chg,sentence,7,
Ch 15,12,چهاريارى بولسانک فهو المراد,"çahār yār bolsañ, fähwuʾl-murād","If you become a Sunni, that will be the desired outcome",Шәрияр (сүннит) болсаң – мақсаттың орындалғаны,"Если станешь чахарьяри (суннитом), это и есть желаемое","Choryori bo‘lsang, fahvu-l-murod","Çaryari (Sünni) olursan, murat hasıl olur","çahār yār bolsañ, fähwuʾl-murād",chg,phrase,4,
Ch 15,13,يوق ايرسە دعاى بد قيلورميز,"Yoq érse, duʿā-yı bäd qılurmız","Otherwise, we will curse you","Жоқ есе, теріс бата қыламыз",В противном случае мы проклянем,"Yo‘q ersa, duoyi bad qilurmiz","Yoksa, beddua ederiz","Yoq érse, duʿā-yı bäd qılurmız",chg,sentence,5,
Ch 15,14,بو قرق شهرينک نى قوم باسيب قالور,Bu qırq şaharıñnı qum basıp qalur,Your forty cities will be buried by sand,Бұл қырық шаһарыңды құм басып қалар,Твои сорок городов занесет песком,Bu qirq shaharingni qum bosib qolur,Bu kırk şehrini kum basıp kalır,Bu qırq şaharıñnı qum basıp qalur,chg,sentence,6,
Ch 15,33,کرسى زرين,kurs-ı zärrı̇̄n,golden throne,Алтын тақ,Золотой трон,Kursi-yi zarrin,Altın kürsü,kurs-ı zärrı̇̄n,chg,phrase,2,
Ch 15,37,حد سان,ḥadd-i sān,limit to the number,Сан шегі,Предел числа,Haddi son,Sayı haddi (sınırı),ḥadd-i sān,chg,phrase,2,
Ch 15,42,روى عالم,rūy-ı ʿālam,about the world,Жер жүзі,Лик мира,Ro‘yi olam,Dünya yüzü,rūy-ı ʿālam,chg,phrase,2,
Ch 15,53,دعاى بد,duʿā-yı bäd,a bad prayer,Теріс бата,Проклятие,Duoyi bad,Beddua,duʿā-yı bäd,chg,phrase,2,
Ch 15,54,دعاى بد,duʿā-yı bäd,malediction,Қарғыс,Злая молитва,Duoyi bad,Kötü dua,duʿā-yı bäd,chg,phrase,2,
Ch 15,55,دعاى بد,duʿā-yı bäd,curse,Лағынет,Проклятие,Duoyi bad,Lanet,duʿā-yı bäd,chg,phrase,2,
Ch 15,77,بيز سيزگە جواب برکايمیز,Biz sizge cawāb bergeymiz,We shall give you an answer,Біз сізге жауап береміз,Мы дадим вам ответ,Biz sizga javob bergaymiz,Biz size cevap vereceğiz,Biz sizge cawāb bergeymiz,chg,phrase,4,
Ch 15,78,اوشبو فادشاە خلقی نى راستليق يولی غە سالماسە قوم شهرينى باسغاى,"Uşbu fādişāh ḫalqını rāstlıq yolıǧa salmasa, qum şaharını basǧay","If this king does not place his people on the road of truth, may the sand cover his city","Осы патша халқын тура жолға салмаса, құм шаһарын бассын","Если этот падишах не наставит народ на путь истины, пусть песок покроет его город","Ushbu podshoh xalqni rostliq yo‘liga solmasa, qum shahrini bosg‘ay","İşbu padişah halkını doğruluk yoluna sokmazsa, kum şehrini bassın","Uşbu fādişāh ḫalqını rāstlıq yolıǧa salmasa, qum şaharını basǧay",chg,sentence,9,
Ch 15,79,اى جبرائيل کم همە کار قيلاالايدور حضرت داودغە تمورچيليک کسبينى برکایسن,"Ey, Cebrāʾı̇̄l, kim hämmä kār qıla alaydur, Ḥażret-i Dāwudǧa temürçilik käsbini bergeysen","Oh, Jibrā’īl, who can do all tasks, give the craft of blacksmithing to Dawud","Ей, Жәбірейіл, барлық істі қыла алатын, Хазіреті Дәуітке теміршілік кәсібін бергейсің","О Джабраил, способный на всякое дело, даруй Хазрату Дауду ремесло кузнеца","Ey Jabroil, kim hamma kor qila olur, Hazrati Dovudga temirchilik kasbini bergaysan","Ey Cebrail, ki her işi yapabilirsin, Hazret-i Davud’a demircilik mesleğini veresin","Ey, Cebrāʾı̇̄l, kim hämmä kār qıla alaydur, Ḥażret-i Dāwudǧa temürçilik käsbini bergeysen",chg,sentence,12,
Ch 15,80,من بخاراغە سير قيلغاي من مو,Men Buḫārāǧa seyr qılǧaymen mü,Shall I travel to Bukhara,Мен Бұхараға сапар шегейін бе?,Странствовать ли мне в Бухару?,Men Buxoroga sayr qilg‘aymanmu?,Ben Buhara’ya seyahat edeyim mi?,Men Buḫārāǧa seyr qılǧaymen mü,chg,sentence,5,
Ch 15,81,اى محمد اوشبو کافرغە جواب برماکاي سن,"Ey, Muḥammad! Uşbu kāfirǧa cawāb bermegeysen","Oh, Muhammad! Do not respond to this nonbeliever","Ей, Мұхаммед! Осы кәпірге жауап бермегейсің",О Мухаммад! Не давай ответа этому неверному,Ey Muhammad! Ushbu kofirga javob bermagaysan,Ey Muhammed! İşbu kâfire cevap vermeyesin,"Ey, Muḥammad! Uşbu kāfirǧa cawāb bermegeysen",chg,sentence,6,
